"0"20240525"083628"Z20SDO"
"1"1204"0"000000001"07000"0"00"20240524" 000000000000388868"2"00"
"1"1204"0"000000004"07000"0"02"20240524" 000000000000009329"0"00"
"1"1204"0"000004010"07000"0"00"20240524" 000000000000001249"2"00"
"1"1204"0"000100080"00710"0"00"20240524" 000000000000000190"0"00"
"1"1204"0"000100447"07000"0"00"20240524" 000000000000000427"0"00"
"1"1204"0"000100447"08000"0"00"20240524" 000000000000056049"2"00"
"1"1204"0"000101105"08000"0"00"20240524" 000000000000623707"2"00"
"1"1204"0"000101249"00807"0"00"20240524" 000000000000000462"0"00"
"1"1204"0"000101249"06000"0"00"20240524" 000000000000128589"2"00"
"1"1204"0"000101249"07000"0"00"20240524" 000000000000000773"2"00"
"1"1204"0"000101249"40620"0"00"20240524" 000000000000000580"0"00"
"1"1204"0"000101249"44700"0"00"20240524" 000000000000000004"0"00"
"1"1204"0"000101249"81086"0"00"20240524" 000000000000000268"0"00"
"1"1204"0"000101249"81088"0"00"20240524" 000000000000000111"0"00"
"1"1204"0"000101262"05924"0"00"20240524" 000000000000000081"0"00"
"1"1204"0"000101262"45701"0"00"20240524" 000000000000000081"0"00"
"1"1204"0"000101364"00111"0"00"20240524" 000000000000000100"0"00"
"1"1204"0"000101364"00710"0"00"20240524" 000000000000000050"0"00"
"1"1204"0"000101364"05921"0"00"20240524" 000000000000002000"0"00"
"1"1204"0"000101364"07000"0"00"20240524" 000000000000009076"2"00"
"1"1204"0"000101364"56207"0"00"20240524" 000000000000000006"0"00"
"1"1204"0"000101364"57118"0"00"20240524" 000000000000002000"0"00"
"1"1204"0"000101364"81086"0"00"20240524" 000000000000001000"0"00"
"1"1204"0"000101364"81093"0"00"20240524" 000000000000001000"0"00"
"1"1204"0"000101364"81274"0"00"20240524" 000000000000001000"0"00"
"1"1204"0"000101364"81326"0"00"20240524" 000000000000001000"0"00"
"1"1204"0"000101364"95610"0"00"20240524" 000000000000001000"0"00"
"1"1204"0"000101440"00710"0"00"20240524" 000000000000000015"0"00"
"1"1204"0"000101625"07000"0"00"20240524" 000000000000000985"0"00"
"1"1204"0"000101816"08000"0"00"20240524" 000000000000003189"1"00"
"1"1204"0"000101827"00710"0"00"20240524" 000000000000000048"0"00"
"1"1204"0"000101827"08000"0"00"20240524" 000000000000634891"2"00"
"1"1204"0"000101889"07000"0"00"20240524" 000000000000000022"0"00"
"1"1204"0"000101939"08000"0"00"20240524" 000000000000007087"2"00"
"1"1204"0"000101970"02225"0"00"20240524" 000000000000006133"0"00"
"1"1204"0"000101970"02702"0"00"20240524" 000000000000006133"0"00"
"1"1204"0"000101970"02784"0"00"20240524" 000000000000006133"0"00"
"1"1204"0"000101970"02827"0"00"20240524" 000000000000006133"0"00"
"1"1204"0"000102002"00710"0"00"20240524" 000000000000000028"0"00"
"1"1204"0"000102088"06000"0"00"20240524" 000000000000019894"2"00"
"1"1204"0"000102088"40625"0"00"20240524" 000000000000000121"0"00"
"1"1204"0"000102119"07000"0"00"20240524" 000000000000005337"2"00"
"1"1204"0"000102154"00710"0"00"20240524" 000000000000000004"0"00"
"1"1204"0"000102194"08000"0"00"20240524" 000000000000055525"2"00"
"1"1204"0"000102865"08000"0"00"20240524" 000000000000126662"2"00"
"1"1204"0"000103057"08000"0"00"20240524" 000000000000102895"2"00"
"1"1204"0"000103229"08000"0"00"20240524" 000000000000420628"2"00"
"1"1204"0"000103256"08000"0"00"20240524" 000000000000069613"2"00"
"1"1204"0"000103359"07000"0"00"20240524" 000000000000001766"0"00"
"1"1204"0"000103359"08000"0"00"20240524" 000000000000012899"1"00"
"1"1204"0"000103428"08000"0"00"20240524" 000000000000007175"2"00"
"1"1204"0"000103506"00710"0"00"20240524" 000000000000000005"0"00"
"1"1204"0"000103606"05921"0"00"20240524" 000000000000000100"0"00"
"1"1204"0"000103606"81086"0"00"20240524" 000000000000000100"0"00"
"1"1204"0"000103659"00710"0"00"20240524" 000000000000000023"0"00"
"1"1204"0"000103659"08000"0"00"20240524" 000000000000207177"2"00"
"1"1204"0"000103672"07000"0"00"20240524" 000000000000000066"0"00"
"1"1204"0"000103672"08000"0"00"20240524" 000000000000009228"2"00"
"1"1204"0"000103766"08000"0"00"20240524" 000000000000000287"2"00"
"1"1204"0"000103791"07000"0"00"20240524" 000000000000003624"0"00"
